Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;9,316.50;9,318.00;1.50;5,124.50
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;9,307.50;9,308.50;1.00;5,225.25
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;9,089.50;9,090.50;1.00;5,208.75
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;8,902.50;8,903.50;1.00;5,715.00
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;8,852.75;8,853.75;1.00;5,927.50
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;8,786.75;8,787.75;1.00;5,753.50
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;8,527.00;8,528.00;1.00;5,377.25
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;8,703.50;8,704.75;1.25;5,664.25
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;8,929.25;8,986.75;57.50;5,895.25
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;9,360.25;9,412.50;52.25;5,883.25
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;9,806.00;9,807.25;1.25;5,697.75
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;10,318.25;10,319.25;1.00;5,457.00
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;10,377.00;10,378.00;1.00;5,023.50
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;10,148.50;10,149.50;1.00;4,748.00
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;10,121.75;10,158.50;36.75;5,486.50
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;10,176.50;10,325.75;149.25;6,815.25
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;10,856.75;10,946.00;89.25;7,394.00
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;11,639.50;14,180.75;2,541.25;7,525.00
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;11,873.75;14,693.50;2,819.75;7,243.50
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;11,647.00;14,409.00;2,762.00;6,623.50
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;11,109.25;12,821.00;1,711.75;5,973.25
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;10,506.25;10,616.25;110.00;5,260.75
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;10,197.25;10,332.75;135.50;5,501.25
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;9,718.00;9,719.25;1.25;5,310.75
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;9,479.00;9,480.00;1.00;5,119.50
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;9,325.75;9,326.75;1.00;5,238.50
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;9,286.00;9,287.00;1.00;5,438.50
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;9,239.50;9,240.50;1.00;5,652.50
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;9,467.25;9,468.25;1.00;5,920.75
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;9,966.75;9,969.50;2.75;5,913.75
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;10,864.75;10,983.75;119.00;6,167.00
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;11,909.25;14,563.50;2,654.25;6,549.25
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;12,594.00;15,908.50;3,314.50;6,982.50
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;13,011.25;15,357.25;2,346.00;6,226.75
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;13,132.75;13,219.75;87.00;5,517.00
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;13,227.00;13,366.00;139.00;5,556.50
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;12,979.75;13,357.00;377.25;5,936.25
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;12,708.25;13,113.75;405.50;6,572.25
Jan 2, 2020 2:00 PM;Jan 2, 2020 3:00 PM;12,484.00;12,990.75;506.75;7,161.50
Jan 2, 2020 3:00 PM;Jan 2, 2020 4:00 PM;12,510.25;12,682.50;172.25;8,042.25
