Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;15,125.00;15,126.00;1.00;13,977.25
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;14,925.75;15,061.75;136.00;13,801.00
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;14,630.50;14,778.25;147.75;13,631.75
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;14,173.25;14,501.00;327.75;13,044.75
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;14,132.25;14,662.25;530.00;12,901.25
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;13,988.25;14,576.25;588.00;12,826.00
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;13,500.50;13,956.75;456.25;12,392.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;13,671.50;13,921.50;250.00;12,647.50
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;13,928.75;14,491.75;563.00;12,908.75
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;14,896.00;15,516.00;620.00;13,445.50
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;15,631.75;16,634.00;1,002.25;13,601.50
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;16,319.50;17,172.75;853.25;13,717.75
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;17,251.25;17,905.75;654.50;14,552.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;17,513.50;17,775.75;262.25;15,069.25
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;16,574.75;16,586.00;11.25;14,846.75
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;16,612.25;16,613.00;0.75;15,660.75
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;17,263.75;17,264.75;1.00;16,638.00
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;18,439.25;18,439.75;0.50;17,666.50
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;18,681.25;18,681.25;0.00;17,753.50
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;18,284.25;18,284.50;0.25;17,183.00
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;17,585.75;17,586.75;1.00;16,147.25
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;17,393.00;17,394.00;1.00;15,904.75
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;17,025.50;17,026.50;1.00;15,672.75
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;15,749.25;15,750.25;1.00;14,389.50
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;15,161.50;15,253.50;92.00;13,880.25
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;14,685.00;14,791.25;106.25;13,556.25
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;14,494.75;14,909.50;414.75;13,452.00
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;14,684.25;15,324.75;640.50;13,786.75
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;15,141.50;16,069.25;927.75;14,305.50
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;15,864.25;15,922.25;58.00;15,131.75
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;17,783.25;18,003.75;220.50;17,053.00
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;19,631.75;19,897.00;265.25;18,873.75
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;20,937.25;20,938.25;1.00;20,130.25
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;21,565.75;21,566.75;1.00;20,466.50
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;21,925.50;21,925.50;0.00;20,244.00
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;22,176.50;22,177.25;0.75;20,026.00
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;22,458.75;22,459.75;1.00;20,102.25
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;22,320.25;22,321.25;1.00;20,090.75
Jan 2, 2020 2:00 PM;Jan 2, 2020 3:00 PM;22,092.50;22,093.50;1.00;20,073.00
Jan 2, 2020 3:00 PM;Jan 2, 2020 4:00 PM;22,027.00;22,028.00;1.00;20,002.75
Jan 2, 2020 4:00 PM;Jan 2, 2020 5:00 PM;22,225.75;22,226.75;1.00;20,038.75
Jan 2, 2020 5:00 PM;Jan 2, 2020 6:00 PM;23,199.50;23,199.50;0.00;20,687.25
Jan 2, 2020 6:00 PM;Jan 2, 2020 7:00 PM;23,198.00;23,198.75;0.75;20,342.25
Jan 2, 2020 7:00 PM;Jan 2, 2020 8:00 PM;22,815.75;22,836.75;21.00;19,683.75
Jan 2, 2020 8:00 PM;Jan 2, 2020 9:00 PM;21,523.25;21,535.00;11.75;18,028.50
Jan 2, 2020 9:00 PM;Jan 2, 2020 10:00 PM;20,545.50;20,721.50;176.00;16,699.75
Jan 2, 2020 10:00 PM;Jan 2, 2020 11:00 PM;19,784.25;20,582.50;798.25;15,810.25
Jan 2, 2020 11:00 PM;Jan 3, 2020 12:00 AM;18,542.00;19,109.50;567.50;14,370.50
Jan 3, 2020 12:00 AM;Jan 3, 2020 1:00 AM;17,019.25;17,585.25;566.00;12,596.00
Jan 3, 2020 1:00 AM;Jan 3, 2020 2:00 AM;16,593.75;17,268.50;674.75;11,898.75
Jan 3, 2020 2:00 AM;Jan 3, 2020 3:00 AM;16,434.25;17,063.00;628.75;11,521.75
Jan 3, 2020 3:00 AM;Jan 3, 2020 4:00 AM;16,537.50;17,400.25;862.75;11,399.75
Jan 3, 2020 4:00 AM;Jan 3, 2020 5:00 AM;16,813.50;17,862.25;1,048.75;11,524.75
Jan 3, 2020 5:00 AM;Jan 3, 2020 6:00 AM;17,525.75;18,318.50;792.75;11,930.75
Jan 3, 2020 6:00 AM;Jan 3, 2020 7:00 AM;19,219.00;19,918.25;699.25;13,332.25
Jan 3, 2020 7:00 AM;Jan 3, 2020 8:00 AM;20,585.75;20,603.25;17.50;14,446.00
Jan 3, 2020 8:00 AM;Jan 3, 2020 9:00 AM;21,615.50;21,645.00;29.50;15,298.00
Jan 3, 2020 9:00 AM;Jan 3, 2020 10:00 AM;22,536.00;22,537.00;1.00;15,898.75
Jan 3, 2020 10:00 AM;Jan 3, 2020 11:00 AM;23,094.75;23,095.75;1.00;16,023.75
Jan 3, 2020 11:00 AM;Jan 3, 2020 12:00 PM;23,682.75;23,683.75;1.00;16,182.75
Jan 3, 2020 12:00 PM;Jan 3, 2020 1:00 PM;23,850.25;23,851.25;1.00;16,324.75
Jan 3, 2020 1:00 PM;Jan 3, 2020 2:00 PM;23,312.00;23,325.75;13.75;15,786.50
