Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;13,644.00;13,708.50;64.50;12,496.50
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;13,141.00;13,249.00;108.00;11,430.00
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;12,701.25;12,929.25;228.00;10,307.25
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;12,278.00;12,499.25;221.25;9,211.75
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;12,397.25;12,899.75;502.50;8,999.75
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;12,433.75;13,118.50;684.75;9,161.75
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;12,217.75;12,699.50;481.75;9,274.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;12,382.00;12,722.00;340.00;9,361.50
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;12,667.50;12,927.50;260.00;9,441.50
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;13,264.50;13,675.75;411.25;8,684.50
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;14,140.75;14,926.00;785.25;7,681.75
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;14,886.00;15,704.00;818.00;7,095.75
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;14,992.00;15,736.50;744.50;6,321.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;14,788.75;15,485.75;697.00;6,343.00
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;14,269.25;14,640.75;371.50;7,431.25
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;14,179.75;14,179.75;0.00;9,292.25
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;15,320.00;15,320.00;0.00;11,044.50
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;16,817.75;16,918.00;100.25;11,451.75
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;17,065.75;17,186.25;120.50;10,620.00
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;16,553.00;16,673.75;120.75;9,578.25
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;15,826.25;15,940.75;114.50;8,863.25
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;15,261.25;15,288.00;26.75;8,252.50
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;15,061.50;15,061.50;0.00;8,572.25
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;14,231.75;14,231.75;0.00;7,878.50
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;13,900.00;14,352.75;452.75;7,453.50
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;13,483.50;14,310.50;827.00;6,875.75
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;13,227.75;14,139.00;911.25;6,246.25
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;13,164.75;14,136.50;971.75;6,148.00
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;13,379.75;14,221.50;841.75;6,298.00
