Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2020 12:00 AM;Jan 1, 2020 1:00 AM;5,415.00;5,624.00;209.00;5,291.75
Jan 1, 2020 1:00 AM;Jan 1, 2020 2:00 AM;5,224.75;5,461.75;237.00;5,098.75
Jan 1, 2020 2:00 AM;Jan 1, 2020 3:00 AM;5,042.50;5,347.00;304.50;4,885.00
Jan 1, 2020 3:00 AM;Jan 1, 2020 4:00 AM;4,926.00;5,126.75;200.75;4,763.50
Jan 1, 2020 4:00 AM;Jan 1, 2020 5:00 AM;4,882.25;5,320.75;438.50;4,687.00
Jan 1, 2020 5:00 AM;Jan 1, 2020 6:00 AM;4,809.25;5,189.75;380.50;4,550.75
Jan 1, 2020 6:00 AM;Jan 1, 2020 7:00 AM;4,713.75;5,130.75;417.00;4,407.00
Jan 1, 2020 7:00 AM;Jan 1, 2020 8:00 AM;4,707.00;4,889.25;182.25;4,385.75
Jan 1, 2020 8:00 AM;Jan 1, 2020 9:00 AM;4,652.50;5,357.25;704.75;4,233.75
Jan 1, 2020 9:00 AM;Jan 1, 2020 10:00 AM;4,853.50;5,368.00;514.50;3,952.75
Jan 1, 2020 10:00 AM;Jan 1, 2020 11:00 AM;4,974.25;5,796.00;821.75;3,636.50
Jan 1, 2020 11:00 AM;Jan 1, 2020 12:00 PM;5,138.50;6,327.75;1,189.25;3,538.25
Jan 1, 2020 12:00 PM;Jan 1, 2020 1:00 PM;5,370.00;6,479.50;1,109.50;3,682.00
Jan 1, 2020 1:00 PM;Jan 1, 2020 2:00 PM;5,273.00;6,063.00;790.00;3,725.75
Jan 1, 2020 2:00 PM;Jan 1, 2020 3:00 PM;5,167.25;5,473.50;306.25;4,076.25
Jan 1, 2020 3:00 PM;Jan 1, 2020 4:00 PM;5,306.75;5,477.00;170.25;4,807.75
Jan 1, 2020 4:00 PM;Jan 1, 2020 5:00 PM;5,629.50;5,799.25;169.75;5,466.25
Jan 1, 2020 5:00 PM;Jan 1, 2020 6:00 PM;6,151.75;6,377.75;226.00;5,953.75
Jan 1, 2020 6:00 PM;Jan 1, 2020 7:00 PM;6,252.00;6,582.75;330.75;5,926.00
Jan 1, 2020 7:00 PM;Jan 1, 2020 8:00 PM;6,151.50;6,698.00;546.50;5,775.00
Jan 1, 2020 8:00 PM;Jan 1, 2020 9:00 PM;5,996.00;6,297.50;301.50;5,650.00
Jan 1, 2020 9:00 PM;Jan 1, 2020 10:00 PM;5,959.75;6,352.75;393.00;5,672.25
Jan 1, 2020 10:00 PM;Jan 1, 2020 11:00 PM;5,920.75;5,932.75;12.00;5,693.00
Jan 1, 2020 11:00 PM;Jan 2, 2020 12:00 AM;5,712.00;5,800.25;88.25;5,481.75
Jan 2, 2020 12:00 AM;Jan 2, 2020 1:00 AM;5,431.25;5,883.75;452.50;5,167.50
Jan 2, 2020 1:00 AM;Jan 2, 2020 2:00 AM;5,042.50;5,580.25;537.75;4,873.25
Jan 2, 2020 2:00 AM;Jan 2, 2020 3:00 AM;4,910.75;5,652.25;741.50;4,817.75
Jan 2, 2020 3:00 AM;Jan 2, 2020 4:00 AM;4,880.25;6,000.75;1,120.50;4,808.75
Jan 2, 2020 4:00 AM;Jan 2, 2020 5:00 AM;5,079.50;5,928.00;848.50;4,991.75
Jan 2, 2020 5:00 AM;Jan 2, 2020 6:00 AM;5,376.00;5,923.00;547.00;5,274.75
Jan 2, 2020 6:00 AM;Jan 2, 2020 7:00 AM;5,828.25;6,950.25;1,122.00;5,708.25
Jan 2, 2020 7:00 AM;Jan 2, 2020 8:00 AM;6,396.75;6,778.50;381.75;6,260.50
Jan 2, 2020 8:00 AM;Jan 2, 2020 9:00 AM;6,777.50;6,800.25;22.75;6,614.25
Jan 2, 2020 9:00 AM;Jan 2, 2020 10:00 AM;7,135.75;7,143.75;8.00;6,686.00
Jan 2, 2020 10:00 AM;Jan 2, 2020 11:00 AM;7,258.25;7,263.50;5.25;6,555.75
Jan 2, 2020 11:00 AM;Jan 2, 2020 12:00 PM;7,314.00;7,321.00;7.00;6,431.75
Jan 2, 2020 12:00 PM;Jan 2, 2020 1:00 PM;7,418.50;7,426.50;8.00;6,402.25
Jan 2, 2020 1:00 PM;Jan 2, 2020 2:00 PM;7,292.00;7,300.00;8.00;6,369.00
Jan 2, 2020 2:00 PM;Jan 2, 2020 3:00 PM;7,095.25;7,103.00;7.75;6,407.75
Jan 2, 2020 3:00 PM;Jan 2, 2020 4:00 PM;7,119.75;7,128.00;8.25;6,773.75
Jan 2, 2020 4:00 PM;Jan 2, 2020 5:00 PM;7,457.00;7,749.00;292.00;7,310.75
Jan 2, 2020 5:00 PM;Jan 2, 2020 6:00 PM;7,799.00;7,991.75;192.75;7,637.25
Jan 2, 2020 6:00 PM;Jan 2, 2020 7:00 PM;7,619.25;7,662.25;43.00;7,456.25
Jan 2, 2020 7:00 PM;Jan 2, 2020 8:00 PM;7,465.50;7,568.50;103.00;7,264.25
Jan 2, 2020 8:00 PM;Jan 2, 2020 9:00 PM;7,073.50;7,146.25;72.75;6,793.25
Jan 2, 2020 9:00 PM;Jan 2, 2020 10:00 PM;6,907.25;7,174.75;267.50;6,558.00
Jan 2, 2020 10:00 PM;Jan 2, 2020 11:00 PM;6,740.50;7,351.25;610.75;6,351.50
Jan 2, 2020 11:00 PM;Jan 3, 2020 12:00 AM;6,373.75;6,939.00;565.25;5,912.00
Jan 3, 2020 12:00 AM;Jan 3, 2020 1:00 AM;5,938.75;7,102.25;1,163.50;5,426.50
Jan 3, 2020 1:00 AM;Jan 3, 2020 2:00 AM;5,611.00;6,931.25;1,320.25;5,044.00
Jan 3, 2020 2:00 AM;Jan 3, 2020 3:00 AM;5,483.50;6,780.00;1,296.50;4,902.00
Jan 3, 2020 3:00 AM;Jan 3, 2020 4:00 AM;5,340.00;7,088.50;1,748.50;4,737.25
Jan 3, 2020 4:00 AM;Jan 3, 2020 5:00 AM;5,454.50;7,336.75;1,882.25;4,836.00
Jan 3, 2020 5:00 AM;Jan 3, 2020 6:00 AM;5,618.50;7,038.50;1,420.00;4,965.50
Jan 3, 2020 6:00 AM;Jan 3, 2020 7:00 AM;5,987.00;7,112.25;1,125.25;5,227.25
Jan 3, 2020 7:00 AM;Jan 3, 2020 8:00 AM;6,458.25;7,368.75;910.50;5,735.25
Jan 3, 2020 8:00 AM;Jan 3, 2020 9:00 AM;6,901.00;7,587.00;686.00;6,141.00
Jan 3, 2020 9:00 AM;Jan 3, 2020 10:00 AM;7,381.50;7,651.75;270.25;6,235.00
Jan 3, 2020 10:00 AM;Jan 3, 2020 11:00 AM;7,445.75;8,028.25;582.50;5,992.00
Jan 3, 2020 11:00 AM;Jan 3, 2020 12:00 PM;7,514.00;7,763.25;249.25;5,777.50
Jan 3, 2020 12:00 PM;Jan 3, 2020 1:00 PM;7,644.75;7,855.50;210.75;5,761.25
Jan 3, 2020 1:00 PM;Jan 3, 2020 2:00 PM;7,460.25;7,746.75;286.50;5,873.50
Jan 3, 2020 2:00 PM;Jan 3, 2020 3:00 PM;7,302.00;7,757.00;455.00;5,991.75
Jan 3, 2020 3:00 PM;Jan 3, 2020 4:00 PM;7,208.25;7,473.75;265.50;6,036.00
Jan 3, 2020 4:00 PM;Jan 3, 2020 5:00 PM;7,262.00;7,498.25;236.25;6,113.50
Jan 3, 2020 5:00 PM;Jan 3, 2020 6:00 PM;7,599.75;7,719.25;119.50;6,410.00
Jan 3, 2020 6:00 PM;Jan 3, 2020 7:00 PM;7,507.75;7,650.50;142.75;6,245.00
Jan 3, 2020 7:00 PM;Jan 3, 2020 8:00 PM;7,328.00;7,440.75;112.75;6,021.00
Jan 3, 2020 8:00 PM;Jan 3, 2020 9:00 PM;6,905.75;7,061.00;155.25;5,612.25
Jan 3, 2020 9:00 PM;Jan 3, 2020 10:00 PM;6,616.25;6,706.00;89.75;5,360.25
Jan 3, 2020 10:00 PM;Jan 3, 2020 11:00 PM;6,406.50;6,667.75;261.25;5,213.25
Jan 3, 2020 11:00 PM;Jan 4, 2020 12:00 AM;6,059.75;6,504.25;444.50;4,946.50
Jan 4, 2020 12:00 AM;Jan 4, 2020 1:00 AM;5,653.00;6,161.50;508.50;4,646.25
Jan 4, 2020 1:00 AM;Jan 4, 2020 2:00 AM;5,291.00;6,019.50;728.50;4,390.75
Jan 4, 2020 2:00 AM;Jan 4, 2020 3:00 AM;5,084.25;5,835.50;751.25;4,264.00
Jan 4, 2020 3:00 AM;Jan 4, 2020 4:00 AM;4,968.75;6,228.75;1,260.00;4,302.50
Jan 4, 2020 4:00 AM;Jan 4, 2020 5:00 AM;5,062.00;6,064.50;1,002.50;4,574.50
Jan 4, 2020 5:00 AM;Jan 4, 2020 6:00 AM;5,103.00;6,529.50;1,426.50;4,685.00
Jan 4, 2020 6:00 AM;Jan 4, 2020 7:00 AM;5,205.25;6,316.00;1,110.75;4,768.75
Jan 4, 2020 7:00 AM;Jan 4, 2020 8:00 AM;5,478.25;6,284.50;806.25;5,050.75
Jan 4, 2020 8:00 AM;Jan 4, 2020 9:00 AM;5,801.25;6,118.50;317.25;5,252.25
Jan 4, 2020 9:00 AM;Jan 4, 2020 10:00 AM;6,203.00;6,698.50;495.50;5,342.25
Jan 4, 2020 10:00 AM;Jan 4, 2020 11:00 AM;6,399.75;7,327.00;927.25;5,190.25
Jan 4, 2020 11:00 AM;Jan 4, 2020 12:00 PM;6,501.75;6,560.25;58.50;5,031.25
Jan 4, 2020 12:00 PM;Jan 4, 2020 1:00 PM;6,775.50;7,179.50;404.00;5,200.25
Jan 4, 2020 1:00 PM;Jan 4, 2020 2:00 PM;6,650.50;7,227.25;576.75;5,232.75
